"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US (USW00013904)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
3/1/1948,,81,67,0.05,0,0
3/2/1948,,72,46,0.07,0,0
3/3/1948,,65,43,0,0,0
3/4/1948,,60,48,0,0,0
3/5/1948,,49,40,0.04,0,0
3/6/1948,,57,36,0,0,0
3/7/1948,,69,33,0,0,0
3/8/1948,,65,46,0.19,0,0
3/9/1948,,55,44,0.25,0,0
3/10/1948,,62,26,0,0,0
3/11/1948,,30,20,0.05,0,
3/12/1948,,43,19,0,0,0
3/13/1948,,61,25,0,0,0
3/14/1948,,70,38,0,0,0
3/15/1948,,81,62,0,0,
3/16/1948,,78,57,0.07,0,0
3/17/1948,,79,51,0,0,0
3/18/1948,,80,65,0.01,0,0
3/19/1948,,79,65,0,0,0
3/20/1948,,82,67,0,0,0
3/21/1948,,81,68,0,0,0
3/22/1948,,77,56,0.25,0,0
3/23/1948,,85,48,0,0,0
3/24/1948,,85,54,0,0,0
3/25/1948,,78,65,0,0,0
3/26/1948,,82,69,0,0,0
3/27/1948,,78,51,0,0,0
3/28/1948,,67,43,0,0,0
3/29/1948,,75,43,0,0,0
3/30/1948,,90,61,0,0,0
3/31/1948,,84,57,0,0,0
4/1/1948,,68,46,0.07,0,0
4/2/1948,,73,46,0,0,0
4/3/1948,,75,46,0,0,0
4/4/1948,,79,54,0,0,0
4/5/1948,,86,63,0,0,0
4/6/1948,,90,68,0,0,0
4/7/1948,,91,70,0,0,0
4/8/1948,,90,70,0,0,0
4/9/1948,,88,69,0,0,0
4/10/1948,,86,68,0,0,0
4/11/1948,,92,68,0,0,0
4/12/1948,,88,70,0,0,0
4/13/1948,,84,54,0.22,0,0
4/14/1948,,75,50,0,0,0
4/15/1948,,84,46,0,0,0
4/16/1948,,88,54,0,0,0
4/17/1948,,86,55,0,0,0
4/18/1948,,85,54,0,0,0
4/19/1948,,85,61,0,0,0
4/20/1948,,86,66,0,0,0
4/21/1948,,86,66,0,0,0
4/22/1948,,83,60,0,0,0
4/23/1948,,84,65,0.24,0,0
4/24/1948,,83,72,0,0,0
4/25/1948,,84,56,0.67,0,0
4/26/1948,,89,56,0,0,0
4/27/1948,,90,58,0,0,0
4/28/1948,,88,59,0,0,0
4/29/1948,,89,57,0,0,0
4/30/1948,,85,67,0,0,0
5/1/1948,,94,72,0,0,0
5/2/1948,,93,70,0,0,0
5/3/1948,,91,75,0.02,0,0
5/4/1948,,88,64,0,0,0
5/5/1948,,90,70,0,0,0
5/6/1948,,88,66,0.63,0,0
5/7/1948,,82,54,0,0,0
5/8/1948,,86,64,0,0,0
5/9/1948,,87,73,0,0,0
5/10/1948,,86,77,0,0,0
5/11/1948,,83,64,0.73,0,0
5/12/1948,,75,60,0,0,0
5/13/1948,,81,63,0,0,0
