"AUSTIN CAMP MABRY, TX US (USW00013958)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
6/1/1938,,91,72,0,0,0
6/2/1938,,94,67,0,0,0
6/3/1938,,94,70,0,0,0
6/4/1938,,90,68,0.4,0,0
6/5/1938,,94,68,0.02,0,0
6/6/1938,,92,70,0,0,0
6/7/1938,,95,70,0,0,0
6/8/1938,,92,76,0,0,0
6/9/1938,,87,64,1.6,0,0
6/10/1938,,90,76,0.01,0,0
6/11/1938,,92,75,0,0,0
6/12/1938,,91,71,0,0,0
6/13/1938,,91,70,0,0,0
6/14/1938,,91,68,0,0,0
6/15/1938,,89,71,0.01,0,0
6/16/1938,,89,70,0.07,0,0
6/17/1938,,90,71,0,0,0
6/18/1938,,90,70,0.65,0,0
6/19/1938,,93,74,0,0,0
6/20/1938,,94,74,0,0,0
6/21/1938,,95,72,0,0,0
6/22/1938,,93,72,0,0,0
6/23/1938,,92,73,0,0,0
6/24/1938,,94,72,0,0,0
6/25/1938,,93,74,0,0,0
6/26/1938,,94,70,0,0,0
6/27/1938,,93,71,0,0,0
6/28/1938,,92,71,0.25,0,0
6/29/1938,,92,73,0.01,0,0
6/30/1938,,92,70,0,0,0
7/1/1938,,94,72,0,0,0
7/2/1938,,95,72,0,0,0
7/3/1938,,95,69,0,0,0
7/4/1938,,96,70,0,0,0
7/5/1938,,98,72,0,0,0
7/6/1938,,98,68,0,0,0
7/7/1938,,97,70,0,0,0
7/8/1938,,95,74,0,0,0
7/9/1938,,96,74,0.07,0,0
7/10/1938,,97,73,0,0,0
7/11/1938,,96,70,0,0,0
7/12/1938,,97,71,0,0,0
7/13/1938,,96,72,0,0,0
7/14/1938,,97,72,0,0,0
7/15/1938,,97,74,0,0,0
7/16/1938,,97,74,0,0,0
7/17/1938,,99,74,0,0,0
7/18/1938,,98,72,0,0,0
7/19/1938,,95,74,0,0,0
7/20/1938,,95,77,0,0,0
7/21/1938,,89,75,0.06,0,0
7/22/1938,,87,74,0.39,0,0
7/23/1938,,84,73,1.2,0,0
7/24/1938,,90,74,0.17,0,0
7/25/1938,,94,76,0.02,0,0
7/26/1938,,94,74,0,0,0
7/27/1938,,95,74,0,0,0
7/28/1938,,97,72,0,0,0
7/29/1938,,98,74,0,0,0
7/30/1938,,96,74,0.08,0,0
7/31/1938,,98,72,0.01,0,0
8/1/1938,,98,70,0.08,0,0
8/2/1938,,96,72,0,0,0
8/3/1938,,93,74,0,0,0
8/4/1938,,93,75,0,0,0
8/5/1938,,96,71,0,0,0
8/6/1938,,96,73,0,0,0
8/7/1938,,97,72,0,0,0
8/8/1938,,98,73,0,0,0
8/9/1938,,98,75,0,0,0
8/10/1938,,98,71,0,0,0
8/11/1938,,95,72,0,0,0
8/12/1938,,97,72,0,0,0
8/13/1938,,97,74,0,0,0
8/14/1938,,98,76,0,0,0
8/15/1938,,101,72,0,0,0
8/16/1938,,100,78,0,0,0
8/17/1938,,97,72,0,0,0
8/18/1938,,98,73,0,0,0
8/19/1938,,98,70,0,0,0
8/20/1938,,97,70,0,0,0
8/21/1938,,98,70,0,0,0
8/22/1938,,98,71,0,0,0
8/23/1938,,98,72,0,0,0
8/24/1938,,96,72,0,0,0
8/25/1938,,96,70,0.6,0,0
8/26/1938,,97,71,0,0,0
8/27/1938,,99,72,0,0,0
8/28/1938,,84,73,0.05,0,0
8/29/1938,,87,72,0.2,0,0
8/30/1938,,95,72,0,0,0
8/31/1938,,95,73,0,0,0
9/1/1938,,96,73,0,0,0
9/2/1938,,95,71,0,0,0
9/3/1938,,95,70,0,0,0
9/4/1938,,95,70,0,0,0
9/5/1938,,93,71,0.91,0,0
9/6/1938,,90,72,0,0,0
9/7/1938,,93,70,0.12,0,0
9/8/1938,,95,68,0.17,0,0
9/9/1938,,95,71,0,0,0
9/10/1938,,90,71,0,0,0
9/11/1938,,88,73,0.46,0,0
9/12/1938,,91,74,0.19,0,0
9/13/1938,,92,76,0.2,0,0
9/14/1938,,96,74,0,0,0
9/15/1938,,88,65,0.28,0,0
9/16/1938,,81,62,0,0,0
9/17/1938,,88,65,0,0,0
9/18/1938,,93,60,0,0,0
9/19/1938,,86,58,0,0,0
9/20/1938,,87,56,0,0,0
9/21/1938,,86,53,0,0,0
9/22/1938,,88,53,0,0,0
9/23/1938,,89,60,0,0,0
9/24/1938,,89,60,0,0,0
9/25/1938,,91,64,0,0,0
9/26/1938,,93,62,0,0,0
9/27/1938,,96,65,0,0,0
9/28/1938,,95,68,0.06,0,0
9/29/1938,,95,65,0,0,0
9/30/1938,,95,64,0,0,0
10/1/1938,,97,61,0,0,0
10/2/1938,,102,68,0,0,0
10/3/1938,,96,68,0,0,0
10/4/1938,,93,65,0,0,0
10/5/1938,,90,67,0,0,0
10/6/1938,,88,60,0.1,0,0
10/7/1938,,87,62,0,0,0
10/8/1938,,90,62,0,0,0
10/9/1938,,90,65,0,0,0
10/10/1938,,89,68,0,0,0
10/11/1938,,88,61,0.11,0,0
10/12/1938,,89,65,0,0,0
10/13/1938,,91,63,0,0,0
10/14/1938,,90,62,0,0,0
10/15/1938,,90,62,0,0,0
10/16/1938,,89,58,0,0,0
10/17/1938,,84,63,0,0,0
10/18/1938,,85,68,0.03,0,0
10/19/1938,,82,65,0,0,0
10/20/1938,,73,50,0.15,0,0
10/21/1938,,83,50,0,0,0
10/22/1938,,82,53,0,0,0
10/23/1938,,65,45,0.05,0,0
10/24/1938,,76,39,0,0,0
10/25/1938,,80,42,0,0,0
10/26/1938,,85,51,0,0,0
10/27/1938,,87,55,0,0,0
10/28/1938,,89,60,0,0,0
10/29/1938,,90,56,0,0,0
10/30/1938,,90,56,0,0,0
10/31/1938,,88,62,0,0,0
11/1/1938,,83,60,0,0,0
11/2/1938,,87,66,0,0,0
11/3/1938,,73,50,0,0,0
11/4/1938,,80,41,0.11,0,0
11/5/1938,,84,47,0,0,0
11/6/1938,,86,42,0,0,0
11/7/1938,,53,35,0.64,0,0
11/8/1938,,59,32,0,0,0
11/9/1938,,68,32,0,0,0
11/10/1938,,75,40,0,0,0
11/11/1938,,81,57,0,0,0
11/12/1938,,82,61,0,0,0
11/13/1938,,78,58,0,0,0
11/14/1938,,63,53,0,0,0
11/15/1938,,,59,0,0,0
11/16/1938,,86,,0.12,0,0
11/17/1938,,86,68,0,0,0
11/18/1938,,72,45,0,0,0
11/19/1938,,70,34,0,0,0
11/20/1938,,71,36,0,0,0
11/21/1938,,71,40,0,0,0
11/22/1938,,57,45,0,0,0
11/23/1938,,45,36,0,0,0
11/24/1938,,48,28,0,0,0
11/25/1938,,53,22,0,0,0
11/26/1938,,55,32,0,0,0
11/27/1938,,54,23,0,0,0
11/28/1938,,61,29,0,0,0
11/29/1938,,64,34,0,0,0
11/30/1938,,70,49,0,0,0
12/1/1938,,76,60,0,0,0
12/2/1938,,77,59,0,0,0
12/3/1938,,75,45,0,0,0
12/4/1938,,78,43,0,0,0
12/5/1938,,68,43,0,0,0
12/6/1938,,74,38,0,0,0
12/7/1938,,70,47,0,0,0
12/8/1938,,78,39,0,0,0
12/9/1938,,68,37,0,0,0
12/10/1938,,80,46,0,0,0
12/11/1938,,78,51,0,0,0
12/12/1938,,57,46,0,0,0
12/13/1938,,49,42,0,0,0
12/14/1938,,60,34,0.03,0,0
12/15/1938,,62,27,0,0,0
12/16/1938,,68,34,0,0,0
12/17/1938,,60,43,0,0,0
12/18/1938,,62,35,0,0,0
12/19/1938,,67,36,0,0,0
12/20/1938,,75,49,0,0,0
12/21/1938,,58,44,0,0,0
12/22/1938,,64,49,0.1,0,0
12/23/1938,,57,48,0.16,0,0
12/24/1938,,52,45,0.05,0,0
12/25/1938,,47,44,0.18,0,0
12/26/1938,,66,35,1.15,0,0
12/27/1938,,40,26,0,0,0
12/28/1938,,43,25,0,0,0
12/29/1938,,69,39,0.01,0,0
12/30/1938,,55,42,0,0,0
12/31/1938,,60,34,0,0,0
1/1/1939,,69,32,0,0,0
1/2/1939,,73,37,0,0,0
1/3/1939,,74,56,0.01,0,0
1/4/1939,,73,49,0.14,0,0
1/5/1939,,70,41,0,0,0
1/6/1939,,72,39,0,0,0
1/7/1939,,72,52,0,0,0
1/8/1939,,69,54,0.12,0,0
1/9/1939,,73,53,0.41,0,0
1/10/1939,,66,48,0,0,0
1/11/1939,,58,46,0.34,0,0
1/12/1939,,49,43,0.97,0,0
1/13/1939,,54,35,0.47,0,0
1/14/1939,,58,42,0,0,0
1/15/1939,,53,34,0.01,0,0
1/16/1939,,55,29,0,0,0
1/17/1939,,61,43,0.04,0,0
1/18/1939,,61,33,0,0,0
1/19/1939,,68,36,0,0,0
1/20/1939,,72,34,0,0,0
1/21/1939,,72,45,0,0,0
1/22/1939,,61,42,0,0,0
1/23/1939,,59,40,0.05,0,0
1/24/1939,,53,42,0.04,0,0
1/25/1939,,54,39,0,0,0
1/26/1939,,57,37,0,0,0
1/27/1939,,49,39,0,0,0
1/28/1939,,58,39,0.14,0,0
1/29/1939,,62,44,0.03,0,0
1/30/1939,,68,35,0,0,0
1/31/1939,,71,41,0,0,0
2/1/1939,,71,,0,0,0
2/2/1939,,,40,0.01,0,0
2/3/1939,,53,33,0.01,0,0
2/4/1939,,58,28,0,0,0
2/5/1939,,63,47,0,0,0
2/6/1939,,71,47,0,0,0
2/7/1939,,74,38,0,0,0
2/8/1939,,72,41,0,0,0
2/9/1939,,84,,0,0,0
2/10/1939,,,46,0,0,0
2/11/1939,,60,30,0,0,0
2/12/1939,,65,32,0,0,0
2/13/1939,,71,42,0,0,0
2/14/1939,,74,60,0,0,0
2/15/1939,,69,35,0,0,0
2/16/1939,,79,42,0,0,0
2/17/1939,,63,33,0,0,0
2/18/1939,,49,36,0.16,0,0
2/19/1939,,72,48,0.14,0,0
2/20/1939,,78,32,0.07,0,0
2/21/1939,,45,26,0,0,0
2/22/1939,,54,25,0,0,0
2/23/1939,,68,29,0,0,0
2/24/1939,,70,49,0.02,0,0
2/25/1939,,64,36,0.15,0,0
2/26/1939,,60,28,0.56,0,0
2/27/1939,,70,47,0,0,0
2/28/1939,,62,37,0,0,0
3/1/1939,,60,41,0,0,0
3/2/1939,,59,35,0,0,0
3/3/1939,,64,37,0,0,0
3/4/1939,,81,59,0,0,0
3/5/1939,,80,59,0,0,0
3/6/1939,,65,48,0,0,0
3/7/1939,,59,45,0,0,0
3/8/1939,,73,51,0.11,0,0
3/9/1939,,82,64,0,0,0
3/10/1939,,85,65,0,0,0
3/11/1939,,84,65,0,0,0
3/12/1939,,77,48,0,0,0
3/13/1939,,78,39,0,0,0
3/14/1939,,80,47,0,0,0
3/15/1939,,64,48,0,0,0
3/16/1939,,69,38,0,0,0
3/17/1939,,64,47,0,0,0
3/18/1939,,74,53,0,0,0
3/19/1939,,77,45,0,0,0
3/20/1939,,77,49,0,0,0
3/21/1939,,79,52,0,0,0
3/22/1939,,81,45,0,0,0
3/23/1939,,80,49,0,0,0
3/24/1939,,77,62,0,0,0
3/25/1939,,81,62,0.23,0,0
3/26/1939,,90,55,0,0,0
3/27/1939,,92,60,0,0,0
3/28/1939,,84,,0,0,0
3/29/1939,,,48,0.33,0,0
3/30/1939,,67,41,0,0,0
3/31/1939,,88,47,0,0,0
4/1/1939,,91,50,0,0,0
4/2/1939,,98,62,0,0,0
4/3/1939,,89,63,0,0,0
4/4/1939,,90,63,0,0,0
4/5/1939,,87,55,0,0,0
4/6/1939,,58,43,0.01,0,0
4/7/1939,,61,37,0,0,0
4/8/1939,,80,34,0,0,0
4/9/1939,,87,48,0,0,0
4/10/1939,,87,64,0,0,0
4/11/1939,,77,61,0,0,0
4/12/1939,,76,50,0,0,0
4/13/1939,,78,59,0,0,0
4/14/1939,,81,65,0,0,0
4/15/1939,,83,70,0,0,0
4/16/1939,,81,53,0.55,0,0
4/17/1939,,71,51,0,0,0
4/18/1939,,70,44,0,0,0
4/19/1939,,83,44,0,0,0
4/20/1939,,92,51,0,0,0
4/21/1939,,76,54,0,0,0
4/22/1939,,83,51,0,0,0
4/23/1939,,86,53,0,0,0
4/24/1939,,85,59,0,0,0
4/25/1939,,90,57,0,0,0
4/26/1939,,85,63,0,0,0
4/27/1939,,84,63,1.7,0,0
4/28/1939,,85,63,0,0,0
4/29/1939,,79,57,0,0,0
4/30/1939,,81,53,0,0,0
5/1/1939,,85,57,0,0,0
5/2/1939,,83,61,0,0,0
5/3/1939,,78,64,0,0,0
5/4/1939,,80,62,0,0,0
5/5/1939,,81,60,0,0,0
5/6/1939,,84,62,0,0,0
5/7/1939,,86,67,0,0,0
5/8/1939,,90,61,0,0,0
5/9/1939,,90,59,0,0,0
5/10/1939,,94,60,0,0,0
5/11/1939,,95,68,0,0,0
5/12/1939,,91,67,0,0,0
5/13/1939,,75,65,0.56,0,0
5/14/1939,,83,62,0,0,0
5/15/1939,,86,63,0,0,0
5/16/1939,,86,64,0,0,0
5/17/1939,,89,71,0.34,0,0
5/18/1939,,95,67,0,0,0
5/19/1939,,96,65,0,0,0
5/20/1939,,95,72,0,0,0
5/21/1939,,99,70,0,0,0
5/22/1939,,98,69,0,0,0
5/23/1939,,94,72,0,0,0
5/24/1939,,94,72,0,0,0
5/25/1939,,91,68,0,0,0
5/26/1939,,90,64,0.25,0,0
5/27/1939,,95,68,0,0,0
5/28/1939,,95,71,0,0,0
5/29/1939,,90,68,0,0,0
5/30/1939,,90,65,0,0,0
5/31/1939,,89,66,0.2,0,0
6/1/1939,,85,65,0.04,0,0
6/2/1939,,87,66,0,0,0
6/3/1939,,88,69,0,0,0
6/4/1939,,79,67,0.35,0,0
6/5/1939,,91,69,0.16,0,0
6/6/1939,,92,68,0,0,0
6/7/1939,,92,66,0.23,0,0
6/8/1939,,94,68,0,0,0
6/9/1939,,96,70,0,0,0
6/10/1939,,98,,0,0,0
6/11/1939,,96,73,0,0,0
6/12/1939,,95,74,0,0,0
6/13/1939,,95,71,0,0,0
6/14/1939,,99,69,0,0,0
