"DRIPPING SPRINGS 6 E, TX US (USC00412585)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
12/1/1984,,70,36,0,0,0
12/2/1984,,72,50,0,0,0
12/3/1984,,54,38,0,0,0
12/4/1984,,51,39,0.17,0,0
12/5/1984,,48,35,0.45,0,0
12/6/1984,,52,33,0,0,0
12/7/1984,,59,23,0,0,0
12/8/1984,,65,30,0,0,0
12/9/1984,,72,52,0,0,0
12/10/1984,,77,46,0,0,0
12/11/1984,,73,54,0,0,0
12/12/1984,,68,57,0,0,0
12/13/1984,,76,57,0.36,0,0
12/14/1984,,67,51,0.01,0,0
12/15/1984,,70,50,0.62,0,0
12/16/1984,,67,47,0.99,0,0
12/17/1984,,68,55,0.03,0,0
12/18/1984,,69,56,0.71,0,0
12/19/1984,,72,50,0,0,0
12/20/1984,,68,60,0,0,0
12/21/1984,,78,61,0,0,0
12/22/1984,,61,41,0,0,0
12/23/1984,,63,48,0,0,0
12/24/1984,,76,56,0,0,0
12/25/1984,,68,36,0,0,0
12/26/1984,,53,37,0,0,0
12/27/1984,,65,52,0.06,0,0
12/28/1984,,73,60,0.29,0,0
12/29/1984,,74,64,0.02,0,0
12/30/1984,,76,62,0.03,0,0
12/31/1984,,69,58,1.64,0,0
1/1/1985,,58,37,0,0,0
1/2/1985,,37,24,0.05,0.3,0
1/3/1985,,47,20,0.43,3.5,4
1/4/1985,,55,22,0,0,0
1/5/1985,,57,31,0,0,0
1/6/1985,,64,27,0,0,0
1/7/1985,,65,34,0,0,0
1/8/1985,,60,28,0,0,0
1/9/1985,,68,46,0,0,0
1/10/1985,,61,35,0,0,0
1/11/1985,,44,31,0,0,0
1/12/1985,,32,21,0.33,1.8,2
1/13/1985,,31,21,0.61,5.8,8
1/14/1985,,49,28,0,0,
1/15/1985,,51,27,0,0,
1/16/1985,,49,42,0.21,0,
1/17/1985,,57,32,0.31,0,
1/18/1985,,70,34,0,0,0
1/19/1985,,69,35,0,0,0
1/20/1985,,60,18,0,0,0
1/21/1985,,45,10,0,0,0
1/22/1985,,41,17,0,0,0
1/23/1985,,44,35,0,0,0
1/24/1985,,64,38,0,0,0
1/25/1985,,78,38,0,0,0
1/26/1985,,65,33,0,0,0
1/27/1985,,72,43,0.14,0,0
1/28/1985,,57,36,0,0,0
1/29/1985,,52,36,0.01,0,0
1/30/1985,,75,52,0.03,0,0
1/31/1985,,65,18,0,0,0
2/1/1985,,21,17,0,0,0
2/2/1985,,32,4,0.26,1.6,2
2/3/1985,,32,14,0,0,1
2/4/1985,,37,28,0.08,0,1
2/5/1985,,43,31,0.02,0,0
2/6/1985,,50,34,0,0,0
2/7/1985,,52,29,0,0,0
2/8/1985,,56,23,0,0,0
2/9/1985,,68,40,0,0,0
2/10/1985,,68,48,0,0,0
2/11/1985,,55,31,0.04,0,0
2/12/1985,,65,21,0,0,0
2/13/1985,,67,32,0,0,0
2/14/1985,,62,40,0,0,0
2/15/1985,,61,36,0,0,0
2/16/1985,,69,39,0,0,0
2/17/1985,,66,50,0,0,0
2/18/1985,,65,53,0.02,0,0
2/19/1985,,71,52,0,0,0
2/20/1985,,63,55,0,0,0
2/21/1985,,66,60,0.04,0,0
