"GRANGER DAM, TX US (USC00413686)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
7/1/1980,,101,73,0,0,0
7/2/1980,,103,72,0,0,0
7/3/1980,,103,72,0,0,0
7/4/1980,,100,73,0,0,0
7/5/1980,,98,71,0,0,0
7/6/1980,,99,72,0,0,0
7/7/1980,,99,72,0,0,0
7/8/1980,,101,75,0,0,0
7/9/1980,,100,74,0,0,0
7/10/1980,,99,73,0,0,0
7/11/1980,,101,74,0,0,0
7/12/1980,,101,73,0,0,0
7/13/1980,,101,74,0,0,0
7/14/1980,,100,74,0,0,0
7/15/1980,,101,73,0,0,0
7/16/1980,,102,73,0,0,0
7/17/1980,,103,73,0,0,0
7/18/1980,,103,73,0,0,0
7/19/1980,,102,73,0,0,0
7/20/1980,,102,72,0,0,0
7/21/1980,,102,72,0,0,0
7/22/1980,,100,74,0,0,0
7/23/1980,,98,73,0,0,0
7/24/1980,,103,72,0,0,0
7/25/1980,,101,71,0,0,0
7/26/1980,,101,70,0,0,0
7/27/1980,,101,75,0,0,0
7/28/1980,,103,77,0,0,0
7/29/1980,,103,67,0,0,0
7/30/1980,,98,72,0,0,0
7/31/1980,,102,71,0,0,0
8/1/1980,,101,69,0,0,0
8/2/1980,,100,72,0,0,0
8/3/1980,,102,76,0,0,0
8/4/1980,,100,78,0,0,0
8/5/1980,,95,79,0,0,0
8/6/1980,,96,76,0,0,0
8/7/1980,,101,70,0.11,0,0
8/8/1980,,98,70,0,0,0
8/9/1980,,101,73,0,0,0
8/10/1980,,96,76,0,0,0
8/11/1980,,83,75,0.03,0,0
8/12/1980,,99,70,0,0,0
8/13/1980,,96,73,0,0,0
8/14/1980,,98,70,0,0,0
8/15/1980,,99,72,0,0,0
8/16/1980,,96,74,0,0,0
8/17/1980,,95,74,0,0,0
8/18/1980,,95,70,0,0,0
8/19/1980,,98,71,0,0,0
8/20/1980,,99,73,0,0,0
8/21/1980,,100,70,0,0,0
8/22/1980,,103,71,0,0,0
8/23/1980,,104,75,0,0,0
8/24/1980,,104,75,0,0,0
8/25/1980,,104,70,0,0,0
8/26/1980,,102,69,0,0,0
8/27/1980,,99,71,0,0,0
8/28/1980,,100,69,0,0,0
8/29/1980,,100,69,0.2,0,0
8/30/1980,,97,71,0,0,0
8/31/1980,,98,74,0,0,0
9/1/1980,,99,73,0,0,0
9/2/1980,,99,71,0,0,0
9/3/1980,,99,68,0.1,0,0
9/4/1980,,98,69,0,0,0
9/5/1980,,94,72,0,0,0
9/6/1980,,99,71,0,0,0
9/7/1980,,89,71,1.26,0,0
9/8/1980,,88,71,1.54,0,0
9/9/1980,,89,72,0.06,0,0
9/10/1980,,89,71,0,0,0
9/11/1980,,94,70,0,0,0
9/12/1980,,94,69,0,0,0
9/13/1980,,95,68,0,0,0
9/14/1980,,95,71,0,0,0
9/15/1980,,95,71,0,0,0
9/16/1980,,98,70,0,0,0
9/17/1980,,97,70,0,0,0
9/18/1980,,96,72,0,0,0
9/19/1980,,95,64,0.52,0,0
9/20/1980,,92,69,0,0,0
9/21/1980,,92,70,0,0,0
9/22/1980,,95,76,0,0,0
9/23/1980,,96,72,0,0,0
9/24/1980,,94,71,0,0,0
9/25/1980,,94,72,0.19,0,0
9/26/1980,,89,71,0,0,0
9/27/1980,,75,68,0.22,0,0
9/28/1980,,80,65,0.61,0,0
9/29/1980,,83,63,0.05,0,0
9/30/1980,,75,63,0.39,0,0
10/1/1980,,70,64,0,0,0
10/2/1980,,83,61,0,0,0
10/3/1980,,83,52,0,0,0
10/4/1980,,83,53,0,0,0
10/5/1980,,91,59,0,0,0
10/6/1980,,88,58,0,0,0
10/7/1980,,81,56,0,0,0
10/8/1980,,86,56,0,0,0
10/9/1980,,89,61,0,0,0
10/10/1980,,98,55,0,0,0
10/11/1980,,86,57,0,0,0
10/12/1980,,84,52,0,0,0
10/13/1980,,84,54,0,0,0
10/14/1980,,86,54,0,0,0
10/15/1980,,87,63,0.72,0,0
10/16/1980,,83,67,1.42,0,0
10/17/1980,,87,70,0,0,0
10/18/1980,,86,60,0,0,0
10/19/1980,,74,55,0.23,0,0
10/20/1980,,69,50,0,0,0
10/21/1980,,75,50,0,0,0
10/22/1980,,79,51,0,0,0
10/23/1980,,79,52,0,0,0
10/24/1980,,82,48,0.53,0,0
10/25/1980,,65,38,0,0,0
10/26/1980,,73,40,0,0,0
10/27/1980,,74,57,0,0,0
10/28/1980,,89,43,0,0,0
10/29/1980,,55,41,0.15,0,0
10/30/1980,,55,31,0,0,0
10/31/1980,,66,31,0,0,0
11/1/1980,,75,46,0,,
11/2/1980,,78,49,0,,
11/3/1980,,79,51,0,,
11/4/1980,,81,56,0,,
11/5/1980,,79,42,0,,
11/6/1980,,82,48,0,,
11/7/1980,,84,57,0,,
11/8/1980,,84,60,0,,
11/9/1980,,88,65,0,,
11/10/1980,,87,60,0,,
11/11/1980,,79,55,0,,
11/12/1980,,79,53,0,,
11/13/1980,,81,47,0,,
11/14/1980,,81,49,0,,
11/15/1980,,68,47,0,,
11/16/1980,,56,43,0.87,,
11/17/1980,,47,38,1.02,,
11/18/1980,,42,31,0,,
11/19/1980,,55,35,0,,
11/20/1980,,56,34,0,,
11/21/1980,,63,40,0,,
11/22/1980,,59,44,0,,
11/23/1980,,49,45,0.09,,
11/24/1980,,67,44,0,,
11/25/1980,,54,44,0,,
11/26/1980,,48,31,1.08,,
11/27/1980,,46,29,0.42,,
11/28/1980,,55,30,0,,
11/29/1980,,62,34,0,,
11/30/1980,,69,43,0,,
12/1/1980,,74,51,0,0,0
12/2/1980,,75,41,0,0,0
12/3/1980,,50,31,0,0,0
12/4/1980,,63,40,0,0,0
12/5/1980,,68,55,0.02,0,0
12/6/1980,,70,64,0,0,0
12/7/1980,,76,65,0,0,0
12/8/1980,,76,65,0,0,0
12/9/1980,,72,40,1,0,0
12/10/1980,,48,36,0,0,0
12/11/1980,,53,30,0,0,0
12/12/1980,,63,32,0,0,0
12/13/1980,,69,38,0,0,0
12/14/1980,,69,45,0,0,0
12/15/1980,,65,52,0.04,0,0
12/16/1980,,67,47,0.14,0,0
12/17/1980,,73,43,0,0,0
12/18/1980,,78,44,0,0,0
12/19/1980,,78,42,0,0,0
12/20/1980,,46,32,0,0,0
12/21/1980,,35,30,0,0,0
12/22/1980,,37,30,0,0,0
12/23/1980,,50,37,0,0,0
12/24/1980,,73,42,0,0,0
12/25/1980,,47,22,0,0,0
12/26/1980,,50,22,0,0,0
12/27/1980,,62,32,0,0,0
12/28/1980,,65,36,0,0,0
12/29/1980,,66,37,0,0,0
12/30/1980,,61,35,0,0,0
12/31/1980,,63,34,0,0,0
1/1/1981,,69,40,0,0,0
1/2/1981,,67,35,0,0,0
1/3/1981,,63,36,0,0,0
1/4/1981,,68,32,0,0,0
1/5/1981,,52,34,0,0,0
1/6/1981,,52,37,0.14,0,0
1/7/1981,,61,32,0,0,0
1/8/1981,,56,33,0,0,0
1/9/1981,,60,36,0.09,0,0
1/10/1981,,58,46,0,0,0
1/11/1981,,57,43,0,0,0
1/12/1981,,53,30,0,0,0
1/13/1981,,48,29,0,0,0
1/14/1981,,61,31,0,0,0
1/15/1981,,61,32,0,0,0
1/16/1981,,58,31,0,0,0
1/17/1981,,53,29,0,0,0
1/18/1981,,41,29,0,0,0
1/19/1981,,43,34,0.38,0,0
1/20/1981,,38,34,0.76,0,0
1/21/1981,,56,35,0,0,0
1/22/1981,,53,32,0,0,0
1/23/1981,,58,32,0,0,0
1/24/1981,,68,33,0,0,0
1/25/1981,,75,34,0,0,0
1/26/1981,,74,47,0,0,0
1/27/1981,,72,46,0,0,0
1/28/1981,,68,38,0,0,0
1/29/1981,,67,43,0,0,0
1/30/1981,,76,36,0,0,0
1/31/1981,,50,35,0,0,0
2/1/1981,,56,41,0.18,0,0
2/2/1981,,51,27,0,0,0
2/3/1981,,44,26,0,0,0
2/4/1981,,48,31,0.04,0,0
2/5/1981,,49,40,0.86,0,0
2/6/1981,,42,39,0.17,0,0
2/7/1981,,48,40,0,0,0
2/8/1981,,73,42,0,0,0
2/9/1981,,50,35,0.01,0,0
2/10/1981,,64,48,0.53,0,0
2/11/1981,,70,15,0,0,0
2/12/1981,,31,16,0,0,0
2/13/1981,,46,25,0,0,0
2/14/1981,,45,36,0,0,0
2/15/1981,,62,31,0,0,0
2/16/1981,,66,37,0,0,0
2/17/1981,,67,42,0,0,0
2/18/1981,,73,42,0,0,0
2/19/1981,,73,55,0,0,0
2/20/1981,,81,52,0,0,0
2/21/1981,,82,55,0,0,0
2/22/1981,,80,45,0.07,0,0
2/23/1981,,68,32,0,0,0
2/24/1981,,79,44,0,0,0
2/25/1981,,77,49,0,0,0
2/26/1981,,64,59,0,0,0
2/27/1981,,73,61,0,0,0
