Year Month,Postal Code,Customer Class,Total Gallons
2012/01,78613,Irrigation - Multi-Family,"11,000"
2012/01,78613,Multi-Family,"23,000"
2012/01,78617,Residential,"19,840,800"
2012/01,78617,Multi-Family,"2,477,000"
2012/01,78652,Irrigation - Residential,"38,500"
2012/01,78652,Residential,"632,300"
2012/01,78652,Multi-Family,"116,900"
2012/01,78653,Residential,"1,562,800"
2012/01,78653,Multi-Family,"120,100"
2012/01,78660,Multi-Family,"173,400"
2012/01,78660,Residential,"7,199,100"
2012/01,78701,Irrigation - Multi-Family,"204,400"
2012/01,78701,Residential,"1,180,900"
2012/01,78701,Multi-Family,"12,638,000"
2012/01,78702,Multi-Family,"10,511,200"
2012/01,78702,Irrigation - Residential,0
2012/01,78702,Residential,"28,371,300"
2012/01,78702,Irrigation - Multi-Family,"391,100"
2012/01,78703,Multi-Family,"12,274,000"
2012/01,78703,Residential,"43,184,900"
2012/01,78703,Irrigation - Multi-Family,"411,900"
2012/01,78703,Irrigation - Residential,"784,300"
2012/01,78704,Residential,"41,373,500"
2012/01,78704,Irrigation - Multi-Family,"836,600"
2012/01,78704,Multi-Family,"48,585,100"
2012/01,78704,Irrigation - Residential,"104,800"
2012/01,78705,Irrigation - Multi-Family,"364,100"
2012/01,78705,Multi-Family,"23,438,700"
2012/01,78705,Residential,"8,342,200"
2012/01,78705,Irrigation - Residential,"28,100"
2012/01,78712,Residential,0
2012/01,78717,Irrigation - Residential,0
2012/01,78717,Irrigation - Multi-Family,"1,491,000"
2012/01,78717,Residential,"24,385,200"
2012/01,78717,Multi-Family,"8,487,500"
2012/01,78719,Multi-Family,"772,700"
2012/01,78719,Residential,"1,631,000"
2012/01,78721,Multi-Family,"5,062,900"
2012/01,78721,Residential,"15,843,000"
2012/01,78721,Irrigation - Residential,"5,900"
2012/01,78721,Irrigation - Multi-Family,0
2012/01,78722,Irrigation - Residential,0
2012/01,78722,Irrigation - Multi-Family,0
2012/01,78722,Residential,"8,107,200"
2012/01,78722,Multi-Family,"2,478,800"
2012/01,78723,Irrigation - Multi-Family,"180,700"
2012/01,78723,Multi-Family,"21,808,300"
2012/01,78723,Residential,"33,506,900"
2012/01,78724,Multi-Family,"11,765,200"
2012/01,78724,Residential,"21,189,200"
2012/01,78724,Irrigation - Residential,"18,800"
2012/01,78724,Irrigation - Multi-Family,"393,100"
2012/01,78725,Irrigation - Multi-Family,0
2012/01,78725,Multi-Family,"249,200"
2012/01,78725,Residential,"2,121,100"
2012/01,78726,Residential,"13,748,800"
2012/01,78726,Irrigation - Multi-Family,"1,998,700"
2012/01,78726,Irrigation - Residential,"2,900"
2012/01,78726,Multi-Family,"11,858,900"
2012/01,78727,Irrigation - Multi-Family,"1,784,400"
2012/01,78727,Residential,"34,852,000"
2012/01,78727,Irrigation - Residential,"1,000"
