Year Month,Postal Code,Customer Class,Total Gallons
2012/01,78613,Irrigation - Multi-Family,11000
2012/01,78613,Multi-Family,23000
2012/01,78617,Residential,19840800
2012/01,78617,Multi-Family,2477000
2012/01,78652,Irrigation - Residential,38500
2012/01,78652,Residential,632300
2012/01,78652,Multi-Family,116900
2012/01,78653,Residential,1562800
2012/01,78653,Multi-Family,120100
2012/01,78660,Multi-Family,173400
2012/01,78660,Residential,7199100
2012/01,78701,Irrigation - Multi-Family,204400
2012/01,78701,Residential,1180900
2012/01,78701,Multi-Family,12638000
2012/01,78702,Multi-Family,10511200
2012/01,78702,Irrigation - Residential,0
2012/01,78702,Residential,28371300
2012/01,78702,Irrigation - Multi-Family,391100
2012/01,78703,Multi-Family,12274000
2012/01,78703,Residential,43184900
2012/01,78703,Irrigation - Multi-Family,411900
2012/01,78703,Irrigation - Residential,784300
2012/01,78704,Residential,41373500
2012/01,78704,Irrigation - Multi-Family,836600
2012/01,78704,Multi-Family,48585100
2012/01,78704,Irrigation - Residential,104800
2012/01,78705,Irrigation - Multi-Family,364100
2012/01,78705,Multi-Family,23438700
2012/01,78705,Residential,8342200
2012/01,78705,Irrigation - Residential,28100
2012/01,78712,Residential,0
2012/01,78717,Irrigation - Residential,0
2012/01,78717,Irrigation - Multi-Family,1491000
2012/01,78717,Residential,24385200
2012/01,78717,Multi-Family,8487500
2012/01,78719,Multi-Family,772700
2012/01,78719,Residential,1631000
2012/01,78721,Multi-Family,5062900
2012/01,78721,Residential,15843000
2012/01,78721,Irrigation - Residential,5900
2012/01,78721,Irrigation - Multi-Family,0
2012/01,78722,Irrigation - Residential,0
2012/01,78722,Irrigation - Multi-Family,0
2012/01,78722,Residential,8107200
2012/01,78722,Multi-Family,2478800
2012/01,78723,Irrigation - Multi-Family,180700
2012/01,78723,Multi-Family,21808300
2012/01,78723,Residential,33506900
2012/01,78724,Multi-Family,11765200
2012/01,78724,Residential,21189200
2012/01,78724,Irrigation - Residential,18800
2012/01,78724,Irrigation - Multi-Family,393100
2012/01,78725,Irrigation - Multi-Family,0
2012/01,78725,Multi-Family,249200
2012/01,78725,Residential,2121100
2012/01,78726,Residential,13748800
2012/01,78726,Irrigation - Multi-Family,1998700
2012/01,78726,Irrigation - Residential,2900
2012/01,78726,Multi-Family,11858900
2012/01,78727,Irrigation - Multi-Family,1784400
2012/01,78727,Residential,34852000
2012/01,78727,Irrigation - Residential,1000
2012/01,78727,Multi-Family,19829600
2012/01,78728,Irrigation - Multi-Family,301300
2012/01,78728,Multi-Family,7676600
2012/01,78728,Residential,3598800
2012/01,78729,Irrigation - Residential,1800
2012/01,78729,Multi-Family,21284600
2012/01,78729,Irrigation - Multi-Family,1301000
2012/01,78729,Residential,19740600
2012/01,78730,Residential,5076500
2012/01,78730,Irrigation - Multi-Family,539200
